OS;Matrix Size;Process Count;Generations (GEN);Max Time (s);Rank
Linux;6x6;1;100;0,000117;0
Linux;6x6;2;100;0,001191;0
Linux;6x6;4;100;0,000505;0
Linux;6x6;6;100;0,002110;0
Linux;6x6;8;100;0,000855;0
Linux;6x6;10;100;0,002645;0
Linux;6x6;12;100;0,001689;0
Linux;6x6;16;100;0,001080;0
Linux;6x6;20;100;0,001607;0
Linux;6x6;24;100;0,001774;0
Linux;6x6;28;100;0,001954;0
Linux;6x6;32;100;0,001492;0
Windows;6x6;1;100;0,000189;0
Windows;6x6;2;100;0,000574;1
Windows;6x6;4;100;0,000869;3
Windows;6x6;6;100;0,002478;5
Windows;6x6;8;100;0,002319;7
Windows;6x6;10;100;0,001194;3
Windows;6x6;12;100;0,002416;7
Linux;10x10;1;100;0,000145;0
Linux;10x10;2;100;0,001299;0
Linux;10x10;4;100;0,000535;0
Linux;10x10;6;100;0,002386;0
Linux;10x10;8;100;0,000872;0
Linux;10x10;10;100;0,002605;0
Linux;10x10;12;100;0,001554;0
Linux;10x10;16;100;0,001255;0
Linux;10x10;20;100;0,002066;0
Linux;10x10;24;100;0,001861;0
Linux;10x10;28;100;0,001889;0
Linux;10x10;32;100;0,001484;0
Windows;10x10;1;100;0,000199;0
Windows;10x10;2;100;0,000468;1
Windows;10x10;4;100;0,001653;2
Windows;10x10;6;100;0,002551;5
Windows;10x10;8;100;0,003238;6
Windows;10x10;10;100;0,003428;9
Windows;10x10;12;100;0,001692;2
Linux;840x840;1;100;0,274182;0
Linux;840x840;2;100;0,275811;0
Linux;840x840;4;100;0,277001;0
Linux;840x840;6;100;0,275721;0
Linux;840x840;8;100;0,274811;0
Linux;840x840;10;100;0,278732;0
Linux;840x840;12;100;0,275571;0
Linux;840x840;16;100;0,275486;0
Linux;840x840;20;100;0,275792;0
Linux;840x840;24;100;0,274866;0
Linux;840x840;28;100;0,276045;0
Linux;840x840;32;100;0,276107;0
Windows;840x840;1;100;0,202072;0
